(28842.0, 4300, 1900, 150),
(26968.0, 4300, 1900, 153),
(26968.0, 4300, 1900, 154),
(28843.0, 4300, 1900, 157),
(26575.0, 4300, 1900, 171),
(40672.25, 4300, 1900, 172),
(28843.0, 4300, 1900, 176),
(39136.5, 4300, 1900, 178),
(26575.0, 4300, 1900, 179),
(26575.0, 4300, 1900, 181),
(28843.0, 4300, 1900, 185),
(38843.25, 4300, 1900, 186),
(38869.5, 4300, 1900, 187),
(28843.0, 4300, 1900, 190),
(26968.0, 4300, 1900, 153),
(26968.0, 4300, 1900, 154),
(26575.0, 4300, 1900, 171),
(42533.25, 4300, 1900, 172),
(28843.0, 4300, 1900, 176),
(39803.5, 4300, 1900, 178),
(26575.0, 4300, 1900, 179),
(26575.0, 4300, 1900, 181),
(28843.0, 4300, 1900, 185),
(37966.25, 4300, 1900, 186),
(37917.5, 4300, 1900, 187),
(28843.0, 4300, 1900, 190),
(26968.0, 4300, 1900, 153),
(26968.0, 4300, 1900, 154),
(26575.0, 4300, 1900, 171),
(40728.75, 4300, 1900, 172),
(28843.0, 4300, 1900, 176),
(38860.75, 4300, 1900, 178),
(26575.0, 4300, 1900, 179),
(26575.0, 4300, 1900, 181),
(28843.0, 4300, 1900, 185),
(38848.5, 4300, 1900, 186),
(37921.25, 4300, 1900, 187),
(28843.0, 4300, 1900, 190),
(22684.0, 4300, 2300, 157),
(22665.0, 4300, 2300, 162),
(12271.0, 4300, 2300, 166),
(23966.0, 4300, 2300, 169),
(41939.25, 4300, 2300, 176),
(22664.0, 4300, 2300, 177),
(22681.0, 4300, 2300, 187),
(26396.0, 4300, 2300, 189),
(22665.0, 4300, 2300, 190),
(22431.0, 4300, 2300, 157),
(310.0, 4300, 2300, 159),
(24345.0, 4300, 2300, 163),
(12283.0, 4300, 2300, 166),
(26772.0, 4300, 2300, 175),
(22683.0, 4300, 2300, 176),
(22664.0, 4300, 2300, 177),
(37903.75, 4300, 2300, 178),
(39903.0, 4300, 2300, 180),
(23829.0, 4300, 2300, 189),
(22665.0, 4300, 2300, 190),
(38865.25, 4300, 2300, 156),
(511048.25, 4300, 2300, 157),
(38908.25, 4300, 2300, 164),
(541649.5, 4300, 2300, 165),
(22657.0, 4300, 2300, 167),
(53574.5, 4300, 2300, 175),
(589299.25, 4300, 2300, 176),
(22683.0, 4300, 2300, 176),
(26576.0, 4300, 2300, 178),
(22663.0, 4300, 2300, 187),
(41590.25, 4300, 2700, 150),
(1266820.0, 4300, 2700, 151),
(22429.0, 4300, 2700, 151),
(26968.0, 4300, 2700, 153),
(39762.75, 4300, 2700, 157),
(1333167.25, 4300, 2700, 158),
(26326.0, 4300, 2700, 158),
(38820.25, 4300, 2700, 162),
(1316376.0, 4300, 2700, 163),
(22414.0, 4300, 2700, 164),
(28615.0, 4300, 2700, 165),
(39787.75, 4300, 2700, 167),
(1380446.5, 4300, 2700, 168),
(22677.0, 4300, 2700, 168),
(22663.0, 4300, 2700, 170),
(26575.0, 4300, 2700, 171),
(38874.0, 4300, 2700, 172),
(37041.0, 4300, 2700, 176),
(1244623.0, 4300, 2700, 177),
(22659.0, 4300, 2700, 177),
(40816.0, 4300, 2700, 178),
(38854.5, 4300, 2700, 179),
(22662.0, 4300, 2700, 180),
(26575.0, 4300, 2700, 181),
(37931.0, 4300, 2700, 185),
(1164750.75, 4300, 2700, 186),
(52618.0, 4300, 2700, 186),
(26574.0, 4300, 2700, 188),
(38833.75, 4300, 2700, 190),
(1254750.25, 4300, 2700, 151),
(22411.0, 4300, 2700, 151),
(26968.0, 4300, 2700, 153),
(41024.75, 4300, 2700, 157),
(1345874.5, 4300, 2700, 158),
(26326.0, 4300, 2700, 158),
(39761.25, 4300, 2700, 162),
(1248325.5, 4300, 2700, 163),
(41602.25, 4300, 2700, 164),
(787578.5, 4300, 2700, 165),
(28615.0, 4300, 2700, 165),
(41125.5, 4300, 2700, 167),
(1285245.0, 4300, 2700, 168),
(22677.0, 4300, 2700, 168),
(22663.0, 4300, 2700, 170),
(26575.0, 4300, 2700, 171),
(40727.5, 4300, 2700, 172),
(36994.25, 4300, 2700, 176),
(1209637.0, 4300, 2700, 177),
(22659.0, 4300, 2700, 177),
(39775.75, 4300, 2700, 178),
(38867.75, 4300, 2700, 179),
(22662.0, 4300, 2700, 180),
(26575.0, 4300, 2700, 181),
(48971.75, 4300, 2700, 185),
(1269465.5, 4300, 2700, 186),
(52618.0, 4300, 2700, 186),
(26574.0, 4300, 2700, 188),
(40262.25, 4300, 2700, 190),
(1295268.75, 4300, 2700, 151),
(22429.0, 4300, 2700, 151),
(26968.0, 4300, 2700, 153),
(39786.0, 4300, 2700, 157),
(1271321.0, 4300, 2700, 158),
(26326.0, 4300, 2700, 158),
(39999.75, 4300, 2700, 162),
(1327489.75, 4300, 2700, 163),
(22414.0, 4300, 2700, 164),
(28615.0, 4300, 2700, 165),
(39762.25, 4300, 2700, 167),
(1172816.25, 4300, 2700, 168),
(22677.0, 4300, 2700, 168),
(22663.0, 4300, 2700, 170),
(26575.0, 4300, 2700, 171),
(39761.25, 4300, 2700, 172),
(39172.75, 4300, 2700, 176),
(1161864.0, 4300, 2700, 177),
(22659.0, 4300, 2700, 177),
(37921.0, 4300, 2700, 178),
(40501.0, 4300, 2700, 179),
(22662.0, 4300, 2700, 180),
(26575.0, 4300, 2700, 181),
(39832.75, 4300, 2700, 185),
(1198592.0, 4300, 2700, 186),
(52618.0, 4300, 2700, 186),
(26574.0, 4300, 2700, 188),
(39883.25, 4300, 2700, 190),
(1371695.75, 4300, 2100, 150),
(22433.0, 4300, 2100, 151),
(24358.0, 4300, 2100, 152),
(22724.0, 4300, 2100, 153),
(37937.5, 4300, 2100, 154),
(1280541.75, 4300, 2100, 155),
(22431.0, 4300, 2100, 158),
(26329.0, 4300, 2100, 159),
(26336.0, 4300, 2100, 164),
(28615.0, 4300, 2100, 165),
(22677.0, 4300, 2100, 168),
(26575.0, 4300, 2100, 169),
(22466.0, 4300, 2100, 170),
(40767.75, 4300, 2100, 171),
(38875.25, 4300, 2100, 172),
(39789.0, 4300, 2100, 173),
(26584.0, 4300, 2100, 176),
(22661.0, 4300, 2100, 177),
(26582.0, 4300, 2100, 178),
(39078.25, 4300, 2100, 179),
(26582.0, 4300, 2100, 180),
(22679.0, 4300, 2100, 181),
(26578.0, 4300, 2100, 182),
(37917.5, 4300, 2100, 185),
(22662.0, 4300, 2100, 186),
(37007.75, 4300, 2100, 187),
(26574.0, 4300, 2100, 188),
(22415.0, 4300, 2100, 151),
(24358.0, 4300, 2100, 152),
(22742.0, 4300, 2100, 153),
(40075.0, 4300, 2100, 154),
(1113261.75, 4300, 2100, 155),
(22431.0, 4300, 2100, 158),
(26329.0, 4300, 2100, 159),
(26336.0, 4300, 2100, 164),
(28615.0, 4300, 2100, 165),
(22677.0, 4300, 2100, 168),
(26575.0, 4300, 2100, 169),
(22466.0, 4300, 2100, 170),
(38937.5, 4300, 2100, 171),
(40786.5, 4300, 2100, 172),
(37007.0, 4300, 2100, 173),
(26584.0, 4300, 2100, 176),
(22661.0, 4300, 2100, 177),
(26582.0, 4300, 2100, 178),
(37941.5, 4300, 2100, 179),
(26582.0, 4300, 2100, 180),
(22679.0, 4300, 2100, 181),
(26578.0, 4300, 2100, 182),
(38850.0, 4300, 2100, 185),
(22662.0, 4300, 2100, 186),
(37018.0, 4300, 2100, 187),
(26574.0, 4300, 2100, 188),
(22415.0, 4300, 2100, 151),
(24358.0, 4300, 2100, 152),
(22742.0, 4300, 2100, 153),
(26971.0, 4300, 2100, 154),
(22431.0, 4300, 2100, 158),
(26329.0, 4300, 2100, 159),
(26336.0, 4300, 2100, 164),
(28615.0, 4300, 2100, 165),
(22677.0, 4300, 2100, 168),
(26575.0, 4300, 2100, 169),
(22466.0, 4300, 2100, 170),
(38869.5, 4300, 2100, 171),
(37033.75, 4300, 2100, 172),
(38865.75, 4300, 2100, 173),
(26584.0, 4300, 2100, 176),
(22661.0, 4300, 2100, 177),
(26582.0, 4300, 2100, 178),
(37972.75, 4300, 2100, 179),
(26582.0, 4300, 2100, 180),
(22679.0, 4300, 2100, 181),
(26578.0, 4300, 2100, 182),
(38952.0, 4300, 2100, 185),
(22662.0, 4300, 2100, 186),
(37910.25, 4300, 2100, 187),
(26574.0, 4300, 2100, 188),
(23966.0, 4300, 2300, 169),
(22663.0, 4300, 2300, 173),
(22665.0, 4300, 2300, 176),
(43166.0, 4300, 2300, 185),
(39804.5, 4300, 2300, 187),
(26574.0, 4300, 2300, 188),
(22665.0, 4300, 2300, 190),
(22665.0, 4300, 2300, 162),
(22682.0, 4300, 2300, 177),
(26577.0, 4300, 2300, 179),
(37945.25, 4300, 2300, 180),
(40785.25, 4300, 2300, 185),
(26574.0, 4300, 2300, 188),
(22683.0, 4300, 2300, 190),
(39858.25, 4300, 2300, 152),
(484368.25, 4300, 2300, 153),
(72060.25, 4300, 2300, 156),
(612250.5, 4300, 2300, 157),
(22683.0, 4300, 2300, 162),
(307.0, 4300, 2300, 164),
(12283.0, 4300, 2300, 166),
(22681.0, 4300, 2300, 173),
