(38.94938499992713, 6, 12894.0, 3500, 2300, 1151),
(70.25922399992123, 10, 36334.0, 3500, 2300, 1155),
(78.1396399999503, 11, 806481.0, 3500, 2300, 1156),
(86.19789399998263, 12, 1124027.25, 3500, 2300, 1157),
(86.19789399998263, 12, 832444.25, 3500, 2300, 1157),
(103.30780799989589, 13, 1168231.25, 3500, 2300, 1158),
(118.87548799999058, 14, 893926.75, 3500, 2300, 1159),
(126.83328399993479, 15, 1257550.25, 3500, 2300, 1160),
(173.9300430000294, 20, 29661.0, 3500, 2300, 1165),
(181.80295899999328, 21, 26398.0, 3500, 2300, 1166),
(213.32900399994105, 25, 12799.0, 3500, 2300, 1170),
(229.26501500001177, 27, 840562.25, 3500, 2300, 1172),
(237.2217369999271, 28, 1181151.25, 3500, 2300, 1173),
(291.7342930000741, 34, 1040288.75, 3500, 2300, 1179),
(299.757784999907, 35, 1361624.75, 3500, 2300, 1180),
(354.5890279999003, 41, 937191.0, 3500, 2300, 1186),
(362.53081099991687, 42, 1355092.25, 3500, 2300, 1187),
(393.902039000066, 45, 818453.75, 3500, 2300, 1190),
(401.82475599995814, 46, 1129584.5, 3500, 2300, 1191),
(401.82475599995814, 46, 897584.25, 3500, 2300, 1191),
(417.7557989999186, 47, 1299831.5, 3500, 2300, 1192),
(417.7557989999186, 47, 34067.0, 3500, 2300, 1192),
