(7.912041999865323, 2, 1372.0, 3500, 2300, 798),
(15.70986199984327, 3, 1372.0, 3500, 2300, 799),
(23.57862599985674, 4, 1373.0, 3500, 2300, 800),
(39.32290999987163, 6, 1372.0, 3500, 2300, 802),
(54.87394199986011, 7, 1526.0, 3500, 2300, 803),
(62.661507999990135, 8, 1372.0, 3500, 2300, 804),
(78.27413000003435, 10, 1373.0, 3500, 2300, 806),
(93.92850999999791, 12, 1372.0, 3500, 2300, 808),
(109.5596539999824, 14, 1372.0, 3500, 2300, 810),
(117.33283999981359, 15, 1373.0, 3500, 2300, 811),
(132.9680759999901, 17, 1369.0, 3500, 2300, 813),
(140.74498499999754, 18, 1372.0, 3500, 2300, 814),
(148.53975799982436, 19, 1372.0, 3500, 2300, 815),
(156.36171499988995, 20, 1372.0, 3500, 2300, 816),
(164.59846100001596, 21, 1372.0, 3500, 2300, 817),
(172.72578999982215, 22, 1376.0, 3500, 2300, 818),
(180.59954499988817, 23, 1372.0, 3500, 2300, 819),
(188.5585799999535, 24, 1373.0, 3500, 2300, 820),
(196.35712699987926, 25, 1481.0, 3500, 2300, 821),
(212.00500099989586, 27, 1372.0, 3500, 2300, 823),
(227.6175369999837, 29, 1375.0, 3500, 2300, 825),
(243.4398429999128, 31, 1373.0, 3500, 2300, 827),
(259.2566809998825, 32, 1372.0, 3500, 2300, 828),
(267.0780759998597, 33, 1372.0, 3500, 2300, 829),
(274.85093700001016, 34, 1372.0, 3500, 2300, 830),
(282.62526999996044, 35, 1372.0, 3500, 2300, 831),
(290.40408300003037, 36, 1374.0, 3500, 2300, 832),
(298.17962499987334, 37, 1390.0, 3500, 2300, 833),
(306.0925069998484, 38, 1373.0, 3500, 2300, 834),
(314.020101999864, 39, 1372.0, 3500, 2300, 835),
(321.99187100003473, 40, 1369.0, 3500, 2300, 836),
(337.6188029998448, 42, 1372.0, 3500, 2300, 838),
(353.4793340000324, 44, 1372.0, 3500, 2300, 840),
