(126.84725699998671, 7, 823557.75, 3500, 2300, 316717),
(148.07294099999126, 8, 1171900.5, 3500, 2300, 316718),
(190.2302020000061, 9, 872975.25, 3500, 2300, 316719),
(211.4530950000044, 10, 1230829.75, 3500, 2300, 316720),
(211.4530950000044, 10, 321218.0, 3500, 2300, 316720),
(274.786156999995, 12, 935351.75, 3500, 2300, 316722),
(296.1923679999891, 13, 1323776.5, 3500, 2300, 316723),
(380.95222499995725, 16, 345236.0, 3500, 2300, 316726),
(487.09687399998074, 21, 991345.25, 3500, 2300, 316731),
(508.5327169999946, 22, 1369777.5, 3500, 2300, 316732),
(508.5327169999946, 22, 913270.75, 3500, 2300, 316732),
(550.9991220000084, 23, 1274082.5, 3500, 2300, 316733),
(637.6650669999653, 26, 486202.75, 3500, 2300, 316736),
(658.8024519999744, 27, 807433.5, 3500, 2300, 316737),
(658.8024519999744, 27, 345199.0, 3500, 2300, 316737),
(743.7889979999745, 30, 321245.0, 3500, 2300, 316740),
(765.079459999979, 31, 833455.5, 3500, 2300, 316741),
(786.2631779999938, 32, 1204116.25, 3500, 2300, 316742),
(912.803460999974, 37, 828601.25, 3500, 2300, 316747),
(934.0023369999835, 38, 1230831.25, 3500, 2300, 316748),
(997.2021829999867, 40, 818459.75, 3500, 2300, 316750),
(1018.409171999956, 41, 1155362.75, 3500, 2300, 316751),
(1469.0790979999583, 61, 971730.0, 3500, 2300, 316731),
(1490.388666999992, 62, 1311124.25, 3500, 2300, 316732),
(1490.388666999992, 62, 909032.25, 3500, 2300, 316732),
(1532.7368509999942, 63, 1258449.5, 3500, 2300, 316733),
(1617.4374630000093, 66, 916929.75, 3500, 2300, 316736),
(1638.7688290000078, 67, 1279577.0, 3500, 2300, 316737),
(1638.7688290000078, 67, 345199.0, 3500, 2300, 316737),
(1723.5804979999666, 70, 321246.0, 3500, 2300, 316740),
(1893.7591799999936, 78, 986887.0, 3500, 2300, 316748),
(1915.4134220000124, 79, 1417649.5, 3500, 2300, 316749),
(1978.9391179999802, 81, 627945.0, 3500, 2300, 316751),
(2042.852251000004, 83, 929031.25, 3500, 2300, 316713),
(2064.232672000013, 84, 1305372.0, 3500, 2300, 316714),
(2064.232672000013, 84, 843308.75, 3500, 2300, 316714),
(2106.833220999979, 85, 1297192.25, 3500, 2300, 316715),
(2191.8289360000053, 88, 644970.0, 3500, 2300, 316718),
(2234.4336499999627, 90, 899450.75, 3500, 2300, 316720),
(2255.8526319999946, 91, 1230806.0, 3500, 2300, 316721),
(2298.3972729999805, 92, 911393.25, 3500, 2300, 316722),
(2319.9369939999888, 93, 1394633.25, 3500, 2300, 316723),
(2405.176245999988, 96, 1081232.75, 3500, 2300, 316726),
(2427.244826000009, 97, 1467357.0, 3500, 2300, 316727),
(2512.5519689999637, 100, 896864.0, 3500, 2300, 316730),
(2533.945437999966, 101, 1289717.5, 3500, 2300, 316731),
(2533.945437999966, 101, 564478.75, 3500, 2300, 316731),
(2576.48189299996, 102, 932611.25, 3500, 2300, 316732),
(2640.556133999955, 104, 990642.75, 3500, 2300, 316734),
(2662.0814479999826, 105, 1367040.75, 3500, 2300, 316735),
(2789.607508999994, 110, 576863.0, 3500, 2300, 316740),
(2810.8062609999906, 111, 962980.25, 3500, 2300, 316741),
(2895.5641879999894, 114, 316772.0, 3500, 2300, 316744),
(2916.8190939999768, 115, 806492.75, 3500, 2300, 316745),
(2938.249967999989, 116, 1149816.5, 3500, 2300, 316746),
(3064.926477000001, 121, 465307.5, 3500, 2300, 316751),
(3149.19868999999, 124, 583368.25, 3900, 2300, 316713),
(3170.3661509999656, 125, 940928.5, 3900, 2300, 316714),
(3170.3661509999656, 125, 891482.75, 3900, 2300, 316714),
(3212.736731999961, 126, 1217936.75, 3900, 2300, 316715),
(3276.5111000000034, 128, 356137.0, 3900, 2300, 316717),
(3361.1472300000023, 132, 785311.0, 3900, 2300, 316721),
(3382.3168209999567, 133, 1145201.5, 3900, 2300, 316722),
(3508.755165999988, 138, 876448.25, 3900, 2300, 316727),
(3530.0061759999953, 139, 1253842.25, 3900, 2300, 316728),
(3636.038056999969, 143, 8814933.75, 3900, 2300, 316732),
(3658.3928510000114, 144, 9197169.0, 3900, 2300, 316733),
(3743.275939999963, 147, 863008.0, 3900, 2300, 316736),
(3764.6403259999934, 148, 1246470.75, 3900, 2300, 316737),
(3764.6403259999934, 148, 328358.0, 3900, 2300, 316737),
(3871.36885899998, 152, 963898.0, 3900, 2300, 316741),
(3892.81992899999, 153, 1315488.75, 3900, 2300, 316742),
(3999.668285999971, 157, 321260.0, 3900, 2300, 316746),
(4106.557043000008, 162, 564969.25, 3900, 2300, 316751),
