(120.70677099982277, 14, 167664.0, 3500, 2300, 134780),
(157.68552499986254, 18, 471449.0, 3500, 2300, 134784),
(167.024446999887, 19, 876754.5, 3500, 2300, 134785),
(176.36557099991478, 20, 1176801.25, 3500, 2300, 134786),
(176.36557099991478, 20, 434426.75, 3500, 2300, 134786),
(194.83939399989322, 21, 831351.75, 3500, 2300, 134787),
(222.54792699986137, 23, 505620.5, 3500, 2300, 134789),
(231.87174399988726, 24, 880146.25, 3500, 2300, 134790),
(268.7896999998484, 27, 874850.25, 3500, 2300, 134793),
(278.1663889999036, 28, 1313894.25, 3500, 2300, 134794),
(342.91973099997267, 34, 163255.0, 3500, 2300, 134800),
(352.1555609998759, 35, 445696.0, 3500, 2300, 134801),
(361.32210599980317, 36, 811093.75, 3500, 2300, 134802),
(361.32210599980317, 36, 865942.25, 3500, 2300, 134802),
(379.4780599998776, 37, 1435296.0, 3500, 2300, 134803),
