(24.9680309999967, 3, 491622.0, 3500, 2300, 463139),
(111.77290199999698, 10, 854347.25, 3500, 2300, 463146),
(124.27731299999868, 11, 1242789.0, 3500, 2300, 463147),
(210.38305999996373, 17, 891616.5, 3500, 2300, 463153),
(222.79310699994676, 18, 1156281.75, 3500, 2300, 463154),
(222.79310699994676, 18, 491623.0, 3500, 2300, 463154),
(247.27222599997185, 19, 474777.0, 3500, 2300, 463155),
(284.24492699996335, 22, 750354.75, 3500, 2300, 463158),
(296.83711899997434, 23, 1104714.25, 3500, 2300, 463159),
(333.805459999945, 25, 599997.0, 3500, 2300, 463161),
